"name","rxcui","source"
"Flurbiprofen","4502","ndf-rt"
"Flutamide","4508","ndf-rt"
"Fluticasone","41126","ndf-rt"
"Fluvastatin","41127","ndf-rt"
"Fluvoxamine","42355","ndf-rt"
"Fondaparinux","321208","ndf-rt"
"Formoterol","25255","ndf-rt"
"Fosamprenavir","358262","ndf-rt"
"Foscarnet","33562","ndf-rt"
"Fosfomycin","4550","ndf-rt"
"Fosinopril","50166","ndf-rt"
"Fosphenytoin","72236","ndf-rt"
"Fospropofol","828682","ndf-rt"
"Frovatriptan","228783","ndf-rt"
"Fulvestrant","282357","ndf-rt"
"Fungi Nail","217219","ndf-rt"
"Furazolidone","4601","ndf-rt"
"Furosemide","4603","ndf-rt"
"Gabapentin","25480","ndf-rt"
"Gabapentin Enacarbil","1101333","ndf-rt"
"Gallamine Triethiodide","4639","ndf-rt"
"Gallium Nitrate","25544","ndf-rt"
"Ganciclovir","4678","ndf-rt"
"Gatifloxacin","228476","ndf-rt"
"Gefitinib","328134","ndf-rt"
"Gemcitabine","12574","ndf-rt"
"Gemfibrozil","4719","ndf-rt"
"Gemifloxacin","138099","ndf-rt"
"Gentamicin Sulfate","142438","ndf-rt"
"Glatiramer","214582","ndf-rt"
"Glimepiride","25789","ndf-rt"
"Glipizide","4821","ndf-rt"
"Globulin,Anti-Thymocyte","1011","ndf-rt"
"Glucarpidase","1242127","ndf-rt"
"Glutethimide","4903","ndf-rt"
"Glyburide","4815","ndf-rt"
"Glycerol,Iodinated","27723","ndf-rt"
"Glycopyrrolate","4955","ndf-rt"
"Golimumab","819300","ndf-rt"
"Granisetron","26237","ndf-rt"
"Grapefruit Extract","124323","ndf-rt"
"Grepafloxacin","83719","ndf-rt"
"Griseofulvin","5021","ndf-rt"
"Guanfacine","40114","ndf-rt"
"Guarana","236953","ndf-rt"
"Haemophilus B","50937","ndf-rt"
"Halazepam","26412","ndf-rt"
"Halofantrine","50749","ndf-rt"
"Haloperidol","5093","ndf-rt"
"Halothane","5095","ndf-rt"
"Heparin","5224","ndf-rt"
"Hepatitis A Vaccine (Inactivated)","253174","ndf-rt"
"Hepatitis B Hyperimmune Globulin [Chemical/Ingredi","26744","ndf-rt"
"Hexobarbital","5302","ndf-rt"
"Hexocyclium Methylsulfate","235430","ndf-rt"
"Homatropine","27084","ndf-rt"
"Hyaluronate Sodium","42892","ndf-rt"
"Hydrochlorothiazide","5487","ndf-rt"
"Hydrocodone","5489","ndf-rt"
"Hydrocortisone","5492","ndf-rt"
"Hydroflumethiazide","5495","ndf-rt"
"Hydromorphone","3423","ndf-rt"
"Hydroxychloroquine","5521","ndf-rt"
"Hydroxyprogesterone","5542","ndf-rt"
"Hydroxyurea","5552","ndf-rt"
"Hyoscyamine","153970","ndf-rt"
"Hypromellose","27334","ndf-rt"
"Ibuprofen","5640","ndf-rt"
"Ibutilide","41289","ndf-rt"
"Idarubicin","5650","ndf-rt"
"Ifosfamide","5657","ndf-rt"
"Iloperidone","73178","ndf-rt"
"Imatinib","282388","ndf-rt"
"Imipramine","5691","ndf-rt"
"Incobotulinumtoxina","1000104","ndf-rt"
"Indacaterol","1114326","ndf-rt"
"Indapamide","5764","ndf-rt"
"Indinavir","114289","ndf-rt"
"Indomethacin","5781","ndf-rt"
"Infliximab","191831","ndf-rt"
"Interferon Alfa-2A,Recombinant","5879","ndf-rt"
"Interferon Alfa-2B,Recombinant","5880","ndf-rt"
"Interferon Alfa-3N","612937","ndf-rt"
"Interferon Alfacon-1","59744","ndf-rt"
"Interferon Beta-1A","75917","ndf-rt"
"Interferon Beta-1B","72257","ndf-rt"
"Interferon Gamma-1B","5882","ndf-rt"
"Iodamide Meglumine","29455","ndf-rt"
"Iodine","5933","ndf-rt"
"Iodipamide Meglumine","29456","ndf-rt"
"Iodixanol","27729","ndf-rt"
"Iodohippurate","314691","ndf-rt"
"Iodoquinol","3435","ndf-rt"
"Iopamidol","5966","ndf-rt"
"Iopanoic Acid","5967","ndf-rt"
"Iophendylate","5968","ndf-rt"
