"name_a","name_b","severity","rxcui_a","rxcui_b","sources"
"Phenobarbital","Acitretin","reported","8134","16818","ndf-rt"
"Phenobarbital","Efavirenz","reported","8134","195085","ndf-rt"
"Phenobarbital","Sirolimus","moderate","8134","35302","ndf-rt+openfda"
"Phenobarbital","Exemestane","reported","8134","258494","ndf-rt"
"Phenobarbital","Imatinib","reported","8134","282388","ndf-rt"
"Phenobarbital","Etonogestrel","reported","8134","14584","ndf-rt"
"Phenobarbital","Voriconazole","severe","8134","121243","ndf-rt+openfda"
"Phenobarbital","Sodium Oxybate","reported","8134","9899","ndf-rt"
"Phenobarbital","Aripiprazole","reported","8134","89013","ndf-rt"
"Phenobarbital","Aprepitant","reported","8134","358255","ndf-rt"
"Phenobarbital","Gefitinib","reported","8134","328134","ndf-rt"
"Phenobarbital","Bortezomib","reported","8134","358258","ndf-rt"
"Phenobarbital","Fosamprenavir","severe","8134","358262","ndf-rt+openfda"
"Phenobarbital","Tinidazole","reported","8134","10612","ndf-rt"
"Phenobarbital","Telithromycin","reported","8134","274786","ndf-rt"
"Phenobarbital","Erlotinib","reported","8134","337525","ndf-rt"
"Phenobarbital","Irinotecan","reported","8134","51499","ndf-rt"
"Phenobarbital","Nelfinavir","moderate","8134","134527","ndf-rt+openfda"
"Phenobarbital","Delavirdine","reported","8134","83816","ndf-rt"
"Phenobarbital","Quetiapine","reported","8134","51272","ndf-rt"
"Phenobarbital","Toremifene","moderate","8134","38409","ndf-rt+openfda"
"Phenobarbital","Atazanavir","severe","8134","343047","ndf-rt+openfda"
"Phenobarbital","Ramelteon","reported","8134","596205","ndf-rt"
"Phenobarbital","Deferasirox","reported","8134","614373","ndf-rt"
"Phenobarbital","Clozapine (Fazaclo)","reported","8134","542974","ndf-rt"
"Phenobarbital","Sorafenib","reported","8134","495881","ndf-rt"
"Phenobarbital","Ranolazine","severe","8134","35829","ndf-rt+openfda"
"Phenobarbital","Sunitinib","reported","8134","357977","ndf-rt"
"Phenobarbital","Darunavir","moderate","8134","460132","ndf-rt+openfda"
"Phenobarbital","Dasatinib","reported","8134","475342","ndf-rt"
"Phenobarbital","Posaconazole","reported","8134","282446","ndf-rt"
"Phenobarbital","Paliperidone","reported","8134","679314","ndf-rt"
"Phenobarbital","Lapatinib","reported","8134","480167","ndf-rt"
"Phenobarbital","Temsirolimus","reported","8134","657797","ndf-rt"
"Phenobarbital","Maraviroc","reported","8134","620216","ndf-rt"
"Phenobarbital","Raltegravir","severe","8134","719872","ndf-rt+openfda"
"Phenobarbital","Ixabepilone","reported","8134","337523","ndf-rt"
"Phenobarbital","Nilotinib","reported","8134","662281","ndf-rt"
"Phenobarbital","Etravirine","severe","8134","475969","ndf-rt+openfda"
"Phenobarbital","Fesoterodine","reported","8134","797195","ndf-rt"
"Phenobarbital","Everolimus","moderate","8134","141704","ndf-rt+openfda"
"Phenobarbital","Tolvaptan","reported","8134","358257","ndf-rt"
"Phenobarbital","Dronedarone","reported","8134","233698","ndf-rt"
"Phenobarbital","Romidepsin","reported","8134","877510","ndf-rt"
"Phenobarbital","Pazopanib","reported","8134","714438","ndf-rt"
"Phenobarbital","Cabazitaxel","reported","8134","996051","ndf-rt"
"Phenobarbital","Ulipristal","reported","8134","1005921","ndf-rt"
"Phenobarbital","Lurasidone","reported","8134","1040028","ndf-rt"
"Phenobarbital","Abiraterone","reported","8134","1100072","ndf-rt"
"Phenobarbital","Roflumilast","severe","8134","1091836","ndf-rt+openfda"
"Phenobarbital","Vandetanib","reported","8134","1098413","ndf-rt"
"Phenobarbital","Boceprevir","reported","8134","1102129","ndf-rt"
"Phenobarbital","Telaprevir","reported","8134","1102261","ndf-rt"
"Phenobarbital","Rilpivirine","severe","8134","1102270","ndf-rt+openfda"
"Phenobarbital","Rivaroxaban","reported","8134","1114195","ndf-rt"
"Phenobarbital","Ticagrelor","reported","8134","1116632","ndf-rt"
"Phenobarbital","Crizotinib","reported","8134","1148495","ndf-rt"
"Phenobarbital","Axitinib","reported","8134","1242999","ndf-rt"
"Phenobarbital","Ivacaftor","severe","8134","1243041","ndf-rt+openfda"
"Alcohol,Ethyl","Metronidazole","reported","448","6922","ndf-rt"
"Alcohol,Ethyl","Disulfiram","reported","448","3554","ndf-rt"
"Alcohol,Ethyl","Levamisole","reported","448","6371","ndf-rt"
"Alcohol,Ethyl","Cefotetan","reported","448","2187","ndf-rt"
"Alcohol,Ethyl","Methotrexate","reported","448","6851","ndf-rt"
"Alcohol,Ethyl","Acitretin","reported","448","16818","ndf-rt"
"Alcohol,Ethyl","Sodium Oxybate","reported","448","9899","ndf-rt"
"Alcohol,Ethyl","Tinidazole","reported","448","10612","ndf-rt"
"Diethylstilbestrol","Phenytoin","reported","3390","8183","ndf-rt"
"Diethylstilbestrol","Carbamazepine","reported","3390","2002","ndf-rt"
"Diethylstilbestrol","Letrozole","reported","3390","72965","ndf-rt"
"Diethylstilbestrol","Mifepristone","reported","3390","6964","ndf-rt"
"Diethylstilbestrol","Fosphenytoin","reported","3390","72236","ndf-rt"
"Diethylstilbestrol","Clobazam","reported","3390","21241","ndf-rt"
"Digitoxin","Cyclothiazide","reported","3403","22033","ndf-rt"
"Digitoxin","Erythromycin","reported","3403","4053","ndf-rt"
"Digitoxin","Bendroflumethiazide","reported","3403","1369","ndf-rt"
"Digitoxin","Hydrochlorothiazide","reported","3403","5487","ndf-rt"
"Digitoxin","Amphotericin B","reported","3403","732","ndf-rt"
"Digitoxin","Tetracycline","reported","3403","10395","ndf-rt"
"Digitoxin","Chlorothiazide","reported","3403","2396","ndf-rt"
"Digitoxin","Doxycycline","reported","3403","3640","ndf-rt"
"Digitoxin","Bumetanide","reported","3403","1808","ndf-rt"
"Digitoxin","Furosemide","reported","3403","4603","ndf-rt"
"Digitoxin","Chlorthalidone","reported","3403","2409","ndf-rt"
"Digitoxin","Quinethazone","reported","3403","59743","ndf-rt"
"Digitoxin","Ethacrynic Acid","reported","3403","4109","ndf-rt"
"Digitoxin","Hydroflumethiazide","reported","3403","5495","ndf-rt"
"Digitoxin","Metolazone","reported","3403","6916","ndf-rt"
"Digitoxin","Benzthiazide","reported","3403","19008","ndf-rt"
"Digitoxin","Methyclothiazide","reported","3403","6860","ndf-rt"
"Digitoxin","Trichlormethiazide","reported","3403","10772","ndf-rt"
