name_a,name_b,severity,sources
Methotrexate,Chloramphenicol,moderate,openfda(new)
Penicillin,Chloramphenicol,severe,openfda(new)
Tacrolimus,Chloramphenicol,moderate,openfda(new)
Phenytoin,Chlordiazepoxide,moderate,openfda(new)
Dapsone,Chloroquine,moderate,openfda(new)
Succinylcholine,Chloroquine,moderate,openfda(new)
Chloroquine,Tamoxifen,severe,openfda(new)
Potassium,Chlorpromazine,severe,openfda(new)
Phenytoin,Chlorpropamide,moderate,openfda(new)
Vasopressin,Chlorpropamide,moderate,openfda(new)
Chlorthalidone,Norepinephrine,moderate,openfda(new)
Chlorthalidone,Tubocurarine,moderate,openfda(new)
Levothyroxine,Cholestyramine,moderate,openfda(new)
Itraconazole,Ciclesonide,moderate,openfda(new)
Diltiazem,Cimetidine,moderate,openfda(new)
Fosamprenavir,Cimetidine,moderate,openfda(new)
Lidocaine,Cimetidine,moderate,openfda(new)
Meperidine,Cimetidine,moderate,openfda(new)
Metformin,Cimetidine,moderate,openfda(new)
Metronidazole,Cimetidine,moderate,openfda(new)
Midazolam,Cimetidine,moderate,openfda(new)
Mirtazapine,Cimetidine,moderate,openfda(new)
Morphine,Cimetidine,severe,openfda(new)
Paclitaxel,Cimetidine,severe,openfda(new)
Praziquantel,Cimetidine,moderate,openfda(new)
Risperidone,Cimetidine,severe,openfda(new)
Tacrolimus,Cimetidine,moderate,openfda(new)
Tamsulosin,Cimetidine,moderate,openfda(new)
Ciprofloxacin,Cyclosporine,moderate,openfda(new)
Itraconazole,Ciprofloxacin,moderate,openfda(new)
Ciprofloxacin,Pentoxifylline,severe,openfda(new)
Ciprofloxacin,Probenecid,moderate,openfda(new)
Ciprofloxacin,Zolpidem,severe,openfda(new)
Cisatracurium,Clindamycin,moderate,openfda(new)
Phenytoin,Cisplatin,moderate,openfda(new)
Vancomycin,Cisplatin,moderate,openfda(new)
Citalopram,Lithium,moderate,openfda(new)
Clarithromycin,Didanosine,moderate,openfda(new)
Estrogens,Clarithromycin,moderate,openfda(new)
Fluticasone,Clarithromycin,severe,openfda(new)
Clarithromycin,Fluvastatin,severe,openfda(new)
Glimepiride,Clarithromycin,moderate,openfda(new)
Clarithromycin,Hexobarbital,moderate,openfda(new)
Clarithromycin,Itraconazole,moderate,openfda(new)
Clarithromycin,Lorazepam,moderate,openfda(new)
Clarithromycin,Methylprednisolone,moderate,openfda(new)
Clarithromycin,Nateglinide,severe,openfda(new)
Clarithromycin,Pioglitazone,severe,openfda(new)
Clarithromycin,Rifampicin,moderate,openfda(new)
Clarithromycin,Rifapentine,moderate,openfda(new)
Rilpivirine,Clarithromycin,moderate,openfda(new)
Clarithromycin,Rosiglitazone,severe,openfda(new)
Clarithromycin,Temazepam,moderate,openfda(new)
Clarithromycin,Zidovudine,moderate,openfda(new)
Darunavir,Clonazepam,moderate,openfda(new)
Clonidine,Digitalis,severe,openfda(new)
Clonidine,Haloperidol,moderate,openfda(new)
Nateglinide,Clonidine,moderate,openfda(new)
Darunavir,Clopidogrel,severe,openfda(new)
Risperidone,Clozapine,moderate,openfda(new)
Vasopressin,Clozapine,moderate,openfda(new)
Codeine,Morphine,severe,openfda(new)
Codeine,Ritonavir,severe,openfda(new)
Fenofibrate,Colchicine,moderate,openfda(new)
Glimepiride,Colesevelam,moderate,openfda(new)
Colesevelam,Metformin,moderate,openfda(new)
Levothyroxine,Colestipol,moderate,openfda(new)
Vancomycin,Colistin,moderate,openfda(new)
Fluticasone,Conivaptan,severe,openfda(new)
Cyclobenzaprine,Meperidine,moderate,openfda(new)
Cyclobenzaprine,Verapamil,moderate,openfda(new)
Cyclophosphamide,Cyclosporine,moderate,openfda(new)
Glimepiride,Cyclophosphamide,moderate,openfda(new)
Pentostatin,Cyclophosphamide,severe,openfda(new)
Cyclophosphamide,Tamoxifen,moderate,openfda(new)
Vasopressin,Cyclophosphamide,moderate,openfda(new)
Ethinyl Estradiol,Cyclosporine,moderate,openfda(new)
Cyclosporine,Fenofibrate,moderate,openfda(new)
Fenoprofen,Cyclosporine,moderate,openfda(new)
Flurbiprofen,Cyclosporine,moderate,openfda(new)
Ganciclovir,Cyclosporine,moderate,openfda(new)
Glyburide,Cyclosporine,moderate,openfda(new)
Indomethacin,Cyclosporine,moderate,openfda(new)
Mefenamic Acid,Cyclosporine,moderate,openfda(new)
Meloxicam,Cyclosporine,moderate,openfda(new)
Cyclosporine,Mycophenolate,moderate,openfda(new)
Cyclosporine,Mycophenolate Mofetil,moderate,openfda(new)
Naproxen,Cyclosporine,moderate,openfda(new)
Oxaprozin,Cyclosporine,moderate,openfda(new)
Piroxicam,Cyclosporine,moderate,openfda(new)
Cyclosporine,Potassium,severe,openfda(new)
Cyclosporine,Prednisolone,moderate,openfda(new)
Cyclosporine,Ranitidine,moderate,openfda(new)
Cyclosporine,Repaglinide,moderate,openfda(new)
